연,월,강원,서울,경기,인천,경남,경북,광주,대구,대전,부산,세종,울산,전남,전북,제주,충남,충북
2006,3,23356,604141,489261,166789,78898,87658,56957,95726,65960,116205,0,102015,28426,50806,282,74037,36097
2006,4,18549,447163,344291,132697,65499,73887,47309,83837,43731,88159,0,84228,23817,39797,211,63184,27229
2006,5,12166,270270,224879,96184,52725,57369,34975,62716,24868,68708,0,74846,19838,29507,120,50642,19853
2006,6,8409,199176,165944,70917,43034,49413,26727,48053,21425,55641,0,63204,16450,23987,81,45599,16768
2006,7,7410,168925,159916,68131,38400,47406,23270,40202,21793,57713,0,56383,15645,23327,65,43101,16523
2006,8,7129,171756,156944,65297,36348,43178,22673,39132,22414,54026,0,58242,15322,22440,86,42881,16190
2006,9,7259,151602,161361,67050,36210,48312,20417,37350,21488,55864,0,60890,15431,24886,120,47398,17712
2006,10,9231,171860,187937,71647,38253,49847,22342,38784,24729,56650,0,65183,16150,28986,107,49539,19407
2006,11,15614,388368,345652,111154,51888,72639,33223,53728,51084,89051,0,88078,23787,45827,254,71861,32358
2006,12,25744,634675,557698,171676,75663,97739,54716,83361,80791,135578,0,117194,33125,61020,426,91369,45797
2007,1,29933,783039,592264,189986,90994,104284,66948,106749,84052,141730,0,120162,36694,69254,504,103913,49591
2007,2,27490,693526,535574,176654,82545,89047,61486,103454,66541,116585,0,106226,30977,57305,394,86101,41691
2007,3,24438,594963,463664,157573,77816,88549,53753,91460,65117,118215,0,107411,31655,57854,390,88965,40152
2007,4,19651,461897,398232,143766,68392,74064,46519,82752,43286,88439,0,93848,25940,47000,252,78404,31466
2007,5,12791,271821,265045,105118,54038,56728,34795,57466,26288,65561,0,75201,20550,35616,146,62460,22892
2007,6,8926,201805,208443,80108,44184,49020,26983,42319,21439,58541,0,64843,17698,29256,143,54835,19363
2007,7,7696,167823,170512,70277,41503,47917,23831,38418,22614,60636,0,63916,19787,29219,216,52874,19612
2007,8,7390,173100,162539,66582,40116,45966,23138,38091,22787,56981,0,62309,20313,27493,318,51341,19597
2007,9,7780,158759,155538,67697,35903,46864,21128,34939,22416,55387,0,58630,15355,27660,280,51685,20076
2007,10,10067,219415,236853,88524,43174,59484,24271,39015,31681,69206,0,80862,22722,37789,327,65716,25792
2007,11,18160,442396,369127,120603,59919,82165,40045,57685,59243,100411,0,102614,30348,55663,537,84361,39531
2007,12,27498,679145,515906,174391,82829,103974,57954,85223,81706,141227,0,126189,37922,66377,755,99782,50817
2008,1,33523,822116,625401,205553,98292,115716,69639,110188,90640,155821,0,143109,43127,76072,563,111684,58195
2008,2,32224,806820,607184,203492,97802,105654,71743,108717,84597,146534,0,135438,41201,73778,580,101846,55078
2008,3,27477,611034,497872,177533,92338,94958,63336,107579,61710,120697,0,121093,35371,60395,470,92357,45410
2008,4,19314,397143,312491,124683,72356,77339,46497,79229,38323,91009,0,101813,29666,46172,304,75663,33819
2008,5,13001,246734,226450,95640,58285,61396,34251,57039,25729,69858,0,92722,25998,36141,217,61606,26629
2008,6,9963,207544,194680,80612,50042,56047,28064,44538,22633,61925,0,109968,29317,31604,286,54674,23148
2008,7,7902,176388,175805,72212,47470,53361,26309,43362,23904,64891,0,117444,29613,30491,249,53508,22709
2008,8,7958,160502,162922,69483,40295,52809,22922,38445,21094,58397,0,126757,28075,27846,306,48598,21458
2008,9,7932,161664,176131,69518,41799,56444,22046,37906,21717,60108,0,135819,28105,30821,225,52310,22060
2008,10,11243,202281,235018,79590,47804,67658,25108,42476,30888,68743,0,150854,31747,37917,206,66293,28488
2008,11,19081,407992,404996,113531,59933,84191,38386,51668,58325,97666,0,110408,32334,51738,365,84438,41867
2008,12,29017,653645,579409,165183,85282,112776,57409,88983,83326,141608,0,124291,35735,68091,718,93608,53001
2009,1,36207,820626,654319,201053,99668,124460,70967,111989,94929,165080,0,135859,41729,74089,930,103416,60112
2009,2,31574,696121,526339,175222,97399,104275,65830,113203,68225,121289,0,138701,34133,61507,666,94059,47496
2009,3,27149,576881,484151,156428,83781,102514,57926,89444,67938,124582,0,145850,36703,59964,710,87054,46408
2009,4,20597,416698,355844,128036,71710,84126,47904,81234,41026,90679,0,111750,29501,48028,571,72117,34621
2009,5,14426,262007,247458,91912,56286,69199,34863,55651,26817,69049,0,78844,23704,35328,385,58443,26844
2009,6,10728,192472,186133,72163,48705,65951,26969,43922,24253,65401,0,77178,22631,31513,414,55034,25844
2009,7,9798,180838,189932,68849,47380,66184,22290,40699,25697,64788,0,83654,26725,31334,607,54980,26995
2009,8,9320,174006,179518,68331,43571,63407,24638,38348,24873,61623,0,91545,22542,29287,621,50745,25249
2009,9,9282,160670,186644,69821,45845,64312,23007,40756,24156,62182,0,96687,27021,35163,432,62413,27380
2009,10,12263,206368,238411,76152,46774,74697,23900,39777,36041,70062,0,95913,25580,39077,393,70447,31490
2009,11,20760,425392,405589,121753,64569,98403,39622,59634,62157,109490,0,130682,34590,59711,735,97981,45439
2009,12,32399,708011,636701,192254,94741,127250,74447,91561,92212,156641,0,174200,50018,80836,1178,127049,64419
2010,1,42634,905732,738025,224622,115062,150557,85311,126076,104838,179086,0,208943,55869,91374,1277,150098,76881
2010,2,36126,753012,610984,195088,106227,124237,64256,122397,74522,139496,0,189430,45638,75053,1011,122722,57384
2010,3,31185,603450,500288,161128,101967,128170,63205,106044,74573,143581,0,188431,48303,73523,876,118461,58705
2010,4,24563,482800,439879,145406,88237,109090,49294,98709,52510,114671,0,158440,40528,62172,700,104033,48017
2010,5,16210,301895,298335,108766,71382,86966,32024,71963,31200,79649,0,127245,32410,47875,436,83359,35268
2010,6,11806,201873,206875,76535,57597,75306,27036,51739,26185,70646,0,124526,28121,41066,383,73179,29741
2010,7,10814,177880,196387,70246,52079,69993,27494,45013,27274,68554,0,112857,28956,39954,596,71429,29039
2010,8,10476,172448,188842,68833,46736,70402,25214,42026,26496,65293,0,106078,27650,36276,603,62908,27974
2010,9,10093,160852,191773,69354,44039,75023,25361,40138,27640,62398,0,103382,26040,36839,446,67190,29743
2010,10,14333,236633,276305,87483,52247,89720,34562,43420,41214,77985,0,123986,31153,46965,426,85850,40710
2010,11,22781,442243,440497,129757,71019,110448,50413,61386,64219,113800,0,177906,41918,65956,692,111267,54391
2010,12,34518,694291,657112,190437,100625,141948,80998,93971,91736,160555,0,209526,51305,83796,1258,144743,75637
2011,1,47123,928709,800313,233451,128711,173107,96670,130441,120524,200683,0,262746,60532,105055,1662,158359,93067
2011,2,40016,747800,594776,203072,113037,134139,67104,131182,75846,144076,0,212934,47901,84985,1275,128980,65330
2011,3,32380,611849,550237,170647,111930,142388,69596,119459,78309,145929,0,216982,48216,81649,1165,124944,68568
2011,4,24195,434383,415812,140579,89981,112429,46528,99321,53823,103964,0,204320,38939,63624,776,103267,50443
2011,5,17126,264979,287682,105088,70097,97074,33266,70045,38709,83354,0,175303,32707,52395,542,89520,42384
2011,6,12653,198037,231298,83313,59792,85819,27185,55822,30867,74142,0,165774,29433,44763,545,74595,37160
2011,7,12582,190898,224406,76184,55507,82062,26887,50864,32849,70169,0,160398,29894,43339,721,71093,38072
2011,8,11899,178319,216578,73544,51097,78442,25430,46054,31201,64615,0,147170,27700,42023,747,66087,35691
2011,9,11599,157947,207083,72299,49507,78801,26714,45890,31020,66426,0,161366,25385,43254,592,69234,37168
2011,10,16280,227152,303154,90064,57525,97105,36243,49613,46031,81153,0,191261,33099,55777,546,91360,48369
2011,11,21521,347194,402780,109145,71783,109101,44215,64437,56485,99190,0,219141,37562,62670,731,108805,53543
2011,12,35317,639756,645520,171694,95814,144802,78625,91544,98455,164255,0,265100,54181,88899,1451,152185,81516
2012,1,44479,802350,763669,214146,120835,159092,85824,130060,116389,178441,0,270006,57098,101691,1573,160556,87616
2012,2,42131,787565,711495,198234,126191,157314,80087,135280,107664,173008,0,267942,58251,96421,1594,163715,83915
2012,3,34754,598720,588434,173944,116782,150698,68239,122833,86729,144653,0,246244,55178,83988,1291,145171,71216
2012,4,25534,416297,408697,138957,93434,123783,44227,98983,57980,103329,0,196637,43905,66345,786,120475,53799
2012,5,16583,249110,264664,96550,71683,106270,32357,66907,38090,83927,0,190155,35251,50390,577,95838,44377
2012,6,13195,179056,224059,78591,61657,95838,26955,53681,34628,74280,0,183417,31965,44432,557,88155,40623
2012,7,12397,172678,226875,79402,58880,92196,28007,48485,34140,75623,0,214146,29267,45824,660,86051,41390
2012,8,12265,166074,215757,76094,53828,86203,25113,47203,32675,68263,0,218024,30265,44072,770,80702,38551
2012,9,11994,159054,228051,77963,51462,86297,28614,47008,31699,71611,0,225526,30823,45737,595,81941,40576
2012,10,16150,206878,307689,92137,59874,99313,37894,46836,44028,83074,0,275652,34516,57270,618,100769,51051
2012,11,26492,435852,503008,136687,78652,128664,56994,66297,77035,122244,0,298701,48539,75003,1092,135440,71078
2012,12,42544,758147,772003,207142,111895,165657,84965,102559,121801,181273,0,352116,63414,101800,1565,182497,96861
2013,1,50361,859992,821469,241088,138454,179607,88714,141067,123727,191681,10229,351014,69140,109876,1720,196450,97327
2013,2,43518,726761,652787,198397,124869,146931,73850,135172,94242,152480,8529,328057,59317,93427,1505,171482,78476
2013,3,33887,561111,556162,173043,113786,141697,63818,117930,76464,129635,7668,305735,55683,82345,1168,157717,72861
2013,4,27462,432767,450269,142623,95553,124850,49980,91649,66768,114522,7188,279040,52408,74975,922,146806,61158
2013,5,19899,264656,320129,106330,81921,107403,34267,78203,44186,88226,5247,216418,40533,55509,643,128468,48629
2013,6,14350,177247,240791,79312,65951,96017,28957,57502,33852,72521,4650,202079,39164,47296,620,109835,41878
2013,7,13333,169428,238256,74557,60638,90973,28656,49793,33298,73739,4217,219523,39200,48620,718,106313,41209
2013,8,12589,169099,240402,73926,55092,84565,26229,46580,32716,64914,3997,194442,35816,43839,763,99485,38371
2013,9,11910,142034,221272,78128,51468,83667,27119,44953,28683,63963,3962,200552,34855,45705,580,96042,37521
2013,10,15614,186230,312646,88547,64087,101158,36144,45505,41176,81580,4868,238703,43158,56255,641,114582,49207
2013,11,25678,407977,491759,129152,82706,126430,55877,63840,72092,117201,6508,273355,55149,77100,1106,152085,66814
2013,12,39272,633820,671109,184755,116825,156398,76752,98281,103335,167574,7822,292135,70536,99163,1703,180745,85325
2014,1,44996,718120,710319,203670,127549,165174,82031,127642,98534,175047,8080,299474,71917,102352,1906,187985,88449
2014,2,40500,644586,591477,182133,122613,142387,66673,127579,82128,150507,7431,268717,60821,94134,1622,168628,74050
2014,3,33860,485186,508507,153461,114280,140772,63957,113343,70584,143724,6984,262840,59086,84901,1494,159423,69638
2014,4,24335,313919,366954,122907,92739,116741,42747,93453,42695,101976,5184,210629,45548,65263,1018,115571,51272
2014,5,17757,217833,285990,97893,74325,98957,35564,66841,35423,84307,4557,204356,41372,55999,772,106000,46136
2014,6,14221,163909,237910,85215,63435,87479,28092,54532,30518,71273,3983,199817,36221,50207,716,97467,40045
2014,7,13001,163172,235321,89126,63052,89087,31189,50003,32070,74293,4317,207207,37433,50672,825,95424,42862
2014,8,12933,157410,220446,77491,54373,79823,27344,46301,28523,67698,4107,185877,35129,45419,831,86601,39834
2014,9,12557,149326,222473,74539,55458,83396,27069,44800,27547,70148,4071,171837,32453,47056,719,86693,39602
2014,10,15944,192532,289728,89021,66660,100843,34003,49402,37078,84946,4605,186261,38877,55290,772,104911,49432
2014,11,24917,368095,430224,118827,82754,117928,53959,65232,60714,109302,6374,183047,48496,73484,1174,126568,63093
2014,12,41416,687116,697933,185645,116999,160790,87571,94334,104233,179852,9426,227257,66612,105850,2315,169644,93130
2015,1,48485,721215,721980,201372,134058,162966,79966,138481,98911,177213,8541,205417,68181,109370,2197,150979,89911
2015,2,41892,639880,586178,164543,120545,138424,70854,127917,79977,150835,8141,184462,59058,94828,2077,134360,77687
2015,3,35500,531629,549030,158984,119670,139643,64414,114680,75226,147748,10176,180948,58381,88585,1731,128831,76748
2015,4,27312,340889,389401,122507,96836,120329,43810,98482,46551,107319,6087,148666,43144,66837,1187,109006,58787
2015,5,18840,214447,278538,92939,73790,95019,33410,71953,31922,79994,4892,133048,36737,54212,843,93997,47181
2015,6,14159,171132,243880,79013,63844,87924,30980,51212,27763,74100,4720,130635,34249,48700,727,80570,41724
2015,7,13778,163786,236954,72786,61692,82536,31403,48644,28445,76227,4633,128698,35022,47117,922,78160,42897
2015,8,13349,155230,224262,73036,55011,74623,26483,45738,26311,65731,4376,120611,32019,43029,995,74956,39829
2015,9,12782,144961,223236,72631,55342,75950,28133,43159,25715,69307,4580,117583,32095,45892,865,73393,39337
2015,10,16248,184939,285803,82922,65250,91282,33841,45214,33892,84487,5037,119835,37827,57694,939,86266,47686
2015,11,24549,344623,418486,111740,77320,110962,48731,58412,55353,108315,6679,147685,48018,70198,1345,107863,59665
2015,12,37101,553480,605808,160979,104437,139724,74858,84385,86900,155706,8865,171496,62616,93745,2132,141963,81420
2016,1,48582,716064,747043,195603,132090,164902,87343,120535,104506,192790,9402,193190,72772,109353,2865,166346,94062
2016,2,48745,683475,629848,186883,130490,149166,74309,136807,90673,172558,8629,179341,68722,101396,2549,149439,86666
2016,3,38001,508512,570929,169267,128914,140098,64217,124375,76252,148808,7951,165195,58372,90794,1997,134554,78297
2016,4,26277,308879,371281,121332,95715,112268,38927,96045,41355,103696,7904,147572,45280,64874,1324,103934,55983
2016,5,18331,210357,282460,95083,75418,93361,35547,64021,32652,85581,5643,113542,41672,55761,1065,89650,48928
2016,6,15267,174731,247825,79286,65984,83853,30622,52172,28160,75733,4920,106897,36874,45840,1010,81433,45040
2016,7,14908,177904,236697,76584,61463,83736,30846,47725,30005,73754,4888,104535,34677,45288,1154,78974,44090
2016,8,14137,163438,232126,73622,55027,78590,26752,42370,27323,66741,4551,91153,33710,42794,1154,74139,42507
2016,9,14018,141428,220105,71678,52648,78522,28054,42385,26462,70137,4291,105190,33460,42947,927,70045,41631
2016,10,17486,186829,290152,86933,64513,92082,36165,45170,35156,82216,5138,133243,39607,54238,1065,87478,49964
2016,11,29606,391774,478714,121168,84840,122024,60927,62818,67947,122259,7278,164814,55793,78644,1646,119414,70072
2016,12,43849,587147,662573,171253,116123,149385,81486,100613,93727,166731,12113,203597,67454,98495,2462,147208,85099
2017,1,52606,694128,738070,193847,135232,169447,88857,127827,103290,188340,9370,219769,78042,108527,3031,163457,94853
2017,2,51137,688208,679661,197958,139176,159762,78192,141192,95251,176003,9335,221527,71157,103108,2755,159603,92183
2017,3,42353,512225,569022,167903,124427,148439,71957,119776,78249,156492,9311,209401,62931,91668,2414,140338,82669
2017,4,30265,328358,395028,121927,99271,115383,44729,102597,46601,108379,6288,203084,47556,67734,1458,111642,60622
2017,5,20219,203288,286693,94581,75844,101799,33398,66106,32514,82001,5493,143352,39985,52695,1053,93900,48907
2017,6,16744,172540,256973,77989,62493,87699,31259,51306,30593,79125,5344,110983,36738,49185,1004,82398,46976
2017,7,15776,181807,240135,73686,59081,82938,29064,46573,29559,76376,5138,101381,37037,48074,1190,80937,45278
2017,8,15682,161980,246109,73113,53477,82355,27118,41894,28185,72262,4852,98566,34129,46306,1185,76668,44115
2017,9,15611,153808,248170,73298,56498,84362,27923,44261,28173,75554,6029,139870,35142,47050,896,77641,46330
2017,10,20034,187466,285688,78338,56810,91096,33802,39268,34967,82870,5202,164677,38579,55746,1137,82283,48903
2017,11,31738,417030,523656,126656,84543,126723,64692,64221,70919,125300,8002,210905,59640,83215,1918,135842,73192
2017,12,51720,731282,791139,205978,123307,167017,93418,111962,110379,204669,10635,289048,86119,108504,3075,174986,100886
2018,1,64248,810317,859780,230689,157687,192264,99162,149169,120022,215573,11610,307958,89544,125735,3604,197928,113620
2018,2,59603,777191,734548,217026,147553,167149,85736,159602,102075,186204,10682,279432,81484,113530,3237,183718,103041
2018,3,45518,522175,574296,173797,132026,153674,64500,130049,76744,157745,9122,241483,70542,89411,2231,142617,82881
2018,4,31685,335587,406962,124334,103930,122106,46220,98618,51805,108188,6886,219102,56414,69458,1430,117614,64482
2018,5,23395,233084,323762,102646,82058,101569,36281,67216,37547,93931,6059,216410,49887,58870,1152,96398,54697
2018,6,18138,183080,276297,87736,69725,88786,29809,53619,32943,77279,5913,199013,46380,52883,1076,86740,48469
2018,7,17658,187574,254270,80109,64856,88127,28832,43479,33409,77269,5091,204025,46511,52666,1234,84495,47267
2018,8,16514,159710,244585,77618,58538,85282,27299,42646,29866,71037,5289,197909,45527,50040,1313,77554,46384
2018,9,16019,152052,234572,72672,56243,83654,27767,42665,29892,72533,4558,200074,50447,48697,1065,75077,45104
2018,10,24370,228383,354863,83880,72720,108813,40971,44591,46461,94793,6104,206623,55795,67000,1315,112299,62025
2018,11,36408,389195,505850,134301,94004,136341,58508,69924,72355,125270,8069,238980,70025,84114,1807,147295,80902
2018,12,54089,643974,742185,189339,120767,172244,88935,102805,113070,182018,9973,289470,80130,111254,3113,182274,103621
2019,1,64031,754822,816518,224628,151007,188792,94441,144808,121150,210982,10604,266679,91532,124247,3586,198190,119471
2019,2,57335,662117,674005,193459,134834,156945,78279,139938,94051,167223,9477,229291,77767,105399,3048,169249,97249
2019,3,44251,479716,566102,169844,124158,147318,67716,123066,81762,144388,9058,241544,68924,91449,2589,153710,88160
2019,4,37240,371517,449495,136980,105551,129122,56687,96775,59249,121169,12855,235340,61576,78412,1742,144330,75629
2019,5,25458,227515,312516,100655,87309,112190,35978,74737,38260,90821,9750,182645,52249,62286,1275,127917,60017
2019,6,19393,172980,251155,79230,67558,92645,30620,53119,32260,79148,8332,182666,47072,52135,1143,103216,51350
2019,7,18474,172649,253612,73632,65362,91122,29962,44880,32747,78992,6353,159799,45014,52348,1347,91320,52078
2019,8,18141,160321,245814,70891,59523,87687,27158,44366,31262,73847,6280,130443,45830,48518,1509,83579,47703
2019,9,17433,155577,230876,73175,56694,86697,27524,40990,29972,73547,5297,138739,44120,49664,1262,79701,48827
2019,10,22461,185075,303799,80336,67652,102971,35496,46742,39586,87861,6261,163784,46841,60000,1270,97088,58294
2019,11,35295,364952,479011,122112,85643,129823,56887,63065,67135,117687,9411,189757,64823,80472,1923,131265,79029
2019,12,53828,588558,696142,179571,116918,170617,84351,99429,107218,182975,10629,224699,81864,103501,3153,171348,104658
2020,1,60387,667452,716886,188900,140280,177749,85780,138172,110897,190840,10640,236405,94564,115432,3448,182013,109718
2020,2,55573,615352,646635,177038,142026,164179,77148,139591,97843,167471,10263,208087,86743,102769,3039,173110,100459
2020,3,45021,465250,548419,153196,122379,148088,68148,118678,75545,149046,9913,196930,82662,94005,2077,146812,91568
2020,4,35828,339407,422650,121419,99483,127807,54697,93789,52499,115783,7749,160901,69487,77266,2403,122475,75045
2020,5,25504,226520,313666,93141,78136,94592,33476,71655,34019,84634,6909,110176,52219,52477,1272,93167,57852
2020,6,19134,170122,256888,74967,60186,82778,30024,47906,32165,73869,6423,102631,44249,45071,1200,80104,51661
2020,7,18346,160511,252344,67443,54509,80105,39848,50675,31131,77497,102653,110544,33955,46458,1281,22984,6941
2020,8,19076,163032,255222,70646,50960,76285,36452,53419,32575,70508,93624,103814,40148,43885,1506,23090,7857
2020,9,18822,147556,243817,72542,53774,80552,37453,51142,30989,70849,100875,112923,44921,48190,1179,37694,7378
2020,10,25946,213556,339823,78654,62056,95788,50615,52524,43234,85283,120481,132347,49228,61328,1414,50694,8270
2020,11,35632,375289,497221,115663,84474,124036,71840,78450,71668,122943,165923,164927,55073,82360,2161,58945,10230
2020,12,57301,636178,742863,179536,124291,167410,115182,117002,114229,200163,232957,246272,77270,113880,4220,75782,13340
